CODIGO,NOMBRE,NOMBRE PROVEEDOR,OBSERVACIONES,MEDIDA,CODIGO DE BARRAS,COD REFERENCIA
0000MAR62,ADAPTADOR RUSAN MAR-62MM,"COMERCIAL EL CALDEN, SL",,,"3,86E+12",
PAKYR8SUC,ADAPTADOR SALAMANDER BLASER R8,"NOBEL SPORT ESPAÑA, SAU",,,"6,17E+11",JAVSP02046R
JAVSTS404,ADAPTADOR SALAMANDER JAVELIN PARA SAUER 404/505,"NOBEL SPORT ESPAÑA, SAU",,,JAVSTS404,JAVSTS404BLOCK
VSA00R8PI,ADAPTADOR SALAMANDER PARA BLASER PICCATINY RAIL,"NOBEL SPORT ESPAÑA, SAU",,,JAVSA000R8PI,JAVSA000R8PI
985236374,ADAPTADOR SPARTAN BLASER R8,"NOBEL SPORT ESPAÑA, SAU",,,"6,17E+11",JAVSP020246R
744790804,ADAPTADOR SPARTAN CLASSIC PARA ARMERO,,,,"7,45E+11",SP02-04R
744790805,ADAPTADOR SPARTAN DAVROS,,,,"7,45E+11",SP04-02-R-BLK
616985230,ADAPTADOR SPARTAN OPTICA HEAVY DUTY,,,,"6,17E+11",SP06-18-R
34999272,ADAPTADOR SPARTAN UNIVERSAL,"NOBEL SPORT ESPAÑA, SAU",,,"7,19E+11",
UTA435A48,ADAPTADOR TA435 48-54MM GUIDE (TIPO C),"SKYWAY TECHNOLOGY, SA",,,GUTA435A48,GUTA435A48
UTA435A56,ADAPTADOR TA435 56-62MM GUIDE (TIPO C),"SKYWAY TECHNOLOGY, SA",,,GUTA435A56,GUTA435A56
JAVSP020,ADAPTADOR UNIVERSAL M-LOCK SP02-03R,"NOBEL SPORT ESPAÑA, SAU",,,JAVSP020,
325100334,ADAPTADOR UNIVERSAL PARA MOVIL VPA 2,"J. ESTELLER, SL",,,"9,01E+12",SW690N
15896001,AFILADOR ACCUSHARP CAMO,,,,15896000201,
15896008,AFILADOR ACCUSHARP NEGRO,,,,15896000218,
658126534,AFILADOR GERBER DE CAMPO BEAR GRYLLSAR GRYLLS,"GAMO OUTDOOR, SL",,,13658126534,31-001270
69518,AFILADOR TAIDEA CORINDON 1000/3000,"ALFA CUCHILLERIA, SL",,,"6,95E+12",TG5310
TAXAGUA10,AGUA OXIGENADA PEROXIDO 12% 40 vol (10 l),"IBERIA HUNT TAXIDERMY, SL",,,TAXAGUA10,
00FX19621,"AGUJA FX IMPACT 6,35",EMERITO R. RODRIGUEZ FRIAS,,,FX19621,FX19621
801,AGUJA PERCUTORA DE 4MM,"EISPORT, SL",,,801,801
808,AGUJA VALVULA DE 5MM,"EISPORT, SL",,,808,808
370019231,AHUYENTADOR ULTRASONICO PARA PERROS NUM AXES,"EISPORT, SL",,,"3,70E+12",3356
AJUSTEPOR,AJUSTE POR DESCUADRE CENTIMOS,,,,AJUSTEPOR,AJUSTEPOR
844617576,ALARMA SONIDO UMAREX SA1,"ARDESA, SA",,,"4,00E+12",22090
100A93X74,"ALIVIAMUELLE 9,3X74","SPORT JADG, SL",,,100A93X74,100A93X74
